iter	Passed	Remaining
0	29	2969
1	67	3302
2	105	3414
3	141	3395
4	176	3360
5	211	3320
6	246	3275
7	269	3103
8	304	3080
9	339	3056
10	375	3038
11	411	3019
12	447	2992
13	482	2965
14	517	2934
15	551	2897
16	586	2861
17	622	2835
18	657	2801
19	692	2769
20	728	2739
21	765	2712
22	798	2674
23	835	2645
24	870	2610
25	904	2574
26	939	2540
27	974	2506
28	1010	2474
29	1045	2438
30	1079	2402
31	1113	2366
32	1148	2331
33	1183	2296
34	1217	2261
35	1252	2226
36	1287	2191
37	1322	2157
38	1361	2129
39	1396	2094
40	1432	2061
41	1466	2025
42	1500	1989
43	1534	1952
44	1568	1917
45	1604	1883
46	1638	1847
47	1672	1811
48	1707	1777
49	1742	1742
50	1777	1708
51	1812	1673
52	1847	1638
53	1884	1604
54	1918	1569
55	1953	1534
56	1988	1500
57	2024	1465
58	2059	1430
59	2094	1396
60	2129	1361
61	2163	1325
62	2199	1291
63	2234	1257
64	2270	1222
65	2305	1187
66	2339	1152
67	2375	1117
68	2409	1082
69	2445	1048
70	2481	1013
71	2515	978
72	2550	943
73	2585	908
74	2620	873
75	2655	838
76	2689	803
77	2725	768
78	2759	733
79	2794	698
80	2830	663
81	2864	628
82	2899	593
83	2936	559
84	2971	524
85	3005	489
86	3039	454
87	3074	419
88	3109	384
89	3143	349
90	3178	314
91	3213	279
92	3247	244
93	3282	209
94	3316	174
95	3350	139
96	3385	104
97	3420	69
98	3456	34
99	3490	0
